Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
SouKa,"36 boulevard Saint-Jean, Aniane, 34150, France","Aniane, France","€€","Modern Cuisine, Farm to table",3.5857173,43.6854998,+33467574483,https://guide.michelin.com/en/occitanie/aniane/restaurant/souka,https://www.soukarestaurant.com,"Selected Restaurants",0,"Terrace,Wheelchair access","In this tiny village in the heart of the Terrasses du Larzac vineyards, SouKa (root in Occitan) focuses on market ingredients and local producers. The playful chef enjoys conjuring up surprises, such as the mystery lunch and evening menu, whose ingredients you’re asked to guess! The fine local tipples can be purchased from the wine shop on the premises."
"La Courtille de Solutré","Route de la Roche, Solutré-Pouilly, 71960, France","Solutré-Pouilly, France","€€","Modern Cuisine",4.7243008,46.2965326,+33385358073,https://guide.michelin.com/en/bourgogne-franche-comte/solutr-pouilly/restaurant/la-courtille-de-solutre,https://www.lacourtilledesolutre.fr/,"Selected Restaurants",0,"Interesting wine list,Terrace,Wheelchair access","A pretty country house, its charming terrace in the shade of an old chestnut tree... and a dynamic Basque chef, who puts passion and good - quality ingredients into his cooking, nicely accompanied by a fine selection of Pouilly - Fuissé wines! There is a handful of guestrooms."
Volver.,"1 bis chemin de la Carcarie, Serviers-et-Labaume, 30700, France","Serviers-et-Labaume, France","€€","Modern Cuisine",4.3588095,44.0388987,+33466204899,https://guide.michelin.com/en/occitanie/serviers-et-labaume/restaurant/volver-1191414,https://www.volver-restaurant.fr/,"Selected Restaurants",0,"Car park,Terrace","Chef Krishna Léger, who was a fireman before turning to cooking later in life, regales us with bistronomic fare, in which he blends local ingredients with globetrotting influences: Thai-style beef salad with guacamole; lamb confit with spices and carrot mousseline. Given the ultra-fresh ingredients, generous helpings and sensibly priced predominantly organic wine list, this eatery will lure you back, again and again!"
"La Charrue","4 rue du 1er-Décembre, Sand, 67230, France","Sand, France","€€€","Modern Cuisine",7.6145041,48.3817611,+33388744266,https://guide.michelin.com/en/grand-est/sand/restaurant/la-charrue-13058,http://www.lacharrue.com,"Selected Restaurants",0,"Air conditioning,Car park,Restaurant offering vegetarian menus,Terrace,Wheelchair access","In the heart of a two-centuries-old edifice, Nicolas Laurent (who trained in places such as the Chambard, the Auberge de l’Ill and the Vieux Couvent) offers contemporary cooking highlighting the region (eel from the Rhine, local game), along with “noble” produce (Cotentin lobster, wild turbot etc.). Regulars will be happy to note that the carp fillets, with fries and Alsatian horseradish cream, remain on the menu."
"Le Quai des Saveurs","8 place de Strasbourg, Les Sables-d'Olonne, 85100, France","Les Sables-d'Olonne, France","€€€",Creative,-1.772796,46.4908383,+33251238491,https://guide.michelin.com/en/pays-de-la-loire/les-sables-d-olonne/restaurant/le-quai-des-saveurs,https://www.lequaidessaveurs.net,"Selected Restaurants",0,"Air conditioning","You can expect a warm welcome with the bonus of a sea view from Estelle and Maxime Dourdin. The chef, formerly of establishments of the calibre of the Four Seasons George V in Paris, signs a single set menu that changes frequently depending on market availability. Unusual, well-crafted dishes in the zeitgeist, such as mussels in white wine, jalapeno sauce, fermented milk and herb-flavoured tapioca."
"La Table de Pierre","2320 route des Serres, Saint-Paul-de-Vence, 06570, France","Saint-Paul-de-Vence, France","€€€€","Mediterranean Cuisine",7.1244509,43.6829022,+33493590010,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-paul-de-vence/restaurant/la-table-de-pierre,https://www.lemasdepierre.com/,"Selected Restaurants",0,"Air conditioning,Car park,Garden or park,Great view,Terrace,Valet parking,Wheelchair access","Le Mas de Pierre has morphed into a sublime, intimate and luxurious resort... and La Table has followed suit. The pair of chefs cooks up modern and locavore Mediterranean cuisine, with subtle international influences. Perfectly cooked and seasoned, there is an overarching harmony to it all: very nicely done."
"Boat aux Saveurs","36-38 avenue Jean-Jaurès, Marmande, 47200, France","Marmande, France","€€","Modern Cuisine",0.154712,44.503338,+33553642035,https://guide.michelin.com/en/nouvelle-aquitaine/marmande/restaurant/boat-aux-saveurs,https://www.restaurantboatauxsaveurs.fr/,"Selected Restaurants",0,"Car park,Terrace,Wheelchair access","This contemporary villa set away from the bustle of the town centre is run by a mother and daughter team. Foodies adore the lovingly prepared dishes fully in tune with the times. The chef makes a point of honour of sourcing ingredients from local producers and most of the veggies come from their own vegetable garden."
"Sancerre Rive Gauche","22 avenue Rapp, Paris, 75007, France","Paris, France","€€€","Modern Cuisine",2.300408,48.8592402,+33143068798,https://guide.michelin.com/en/ile-de-france/paris/restaurant/sancerre,https://www.sancerrerivegauche.com/,"Selected Restaurants",0,"","In this upmarket neighbourhood, Sancerre denotes a hill, a wine and even a great little Parisian restaurant – a location once run by the great Sancerre winegrower, Alphonse Mellot. In a modern bistro atmosphere, Anne-Cécile Faye, no stranger to the art of hospitality, extends an exuberant welcome. As for chef Éric Lecerf, he cooks up humble dishes from French popular tradition and the effect is as remarkable as it is cheering: different pâtés, offal and other filling foods, plus stuffed cabbage – the house specialty. Everything is presented on the counter; whole pies and cakes are cut to order by the waiter."
"14 Avenue","14 avenue Pavie, La Baule, 44500, France","La Baule, France","€€€",Seafood,-2.4053562,47.2826254,+33240600921,https://guide.michelin.com/en/pays-de-la-loire/la-baule/restaurant/14-avenue,https://14avenue-labaule.com/,"Selected Restaurants",0,Terrace,"Simplicity and quality are the watchwords here. Seafood ingredients are treated with the utmost respect: appetising when presented on the plate, then nicely prepared by chef Antoine Le Moal. The starter of crab, prawn and lobster is fresh and well seasoned, the skate wing carefully cooked, and the rum baba adds the final flourish of deliciousness. The modern interior is elegant, and the friendly service comes with a smile."
"Auberge La Cauquière","7 rue du Chanoine-Bœuf, Le Beausset, 83330, France","Le Beausset, France","€€","Regional Cuisine",5.80072,43.19683,+33494749815,https://guide.michelin.com/en/provence-alpes-cote-dazur/le-beausset/restaurant/auberge-la-cauquiere,https://lacauquiere.fr/,"Selected Restaurants",0,"Garden or park,Terrace","The chef-owner of this former inn prepares contemporary dishes that are meticulous and flavoursome: creamy hummus, artichokes and olives in a tomato sauce; fillet of sea bass cooked skin on, minestrone of baby vegetables with pistou sauce and bouillabaisse jus... served in a pretty space with exposed stone walls, or on the terrace in front of the garden. A fresh start!"
